Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
422.225,49.250524,-122.896379,21.393999,35.099998,4.599998,150.599854,0,0.214251,0
423.3424098,49.250518,-122.896356,20.046,35.099998,4.599998,121.818413,0,0.62112,0
424.3438606,49.250517,-122.89635,19.625999,35.099998,4.599998,114.648056,0,0.525259,0
425.3452052,49.250519,-122.896352,18.134001,35.099998,4.599998,105.17292,0,0.267578,0
426.340767,49.250519,-122.896351,17.996,35.099998,4.599998,101.856239,0,0.194385,0
427.3435439,49.250519,-122.896351,17.103001,35.099998,4.599998,104.847275,0,0.129699,0
428.3455468,49.250519,-122.896352,17.124001,35.099998,4.599998,117.912277,0,0.073418,0
429.3452365,49.250502,-122.896365,17.004,35.099998,4.599998,203.066345,0,0.752678,0
430.018,49.250507,-122.896365,15.507,35.099998,4.599998,266.89566,0,0.021475,0
431.058,49.250507,-122.896366,13.963,35.099998,4.599998,270.00946,0,0.000996,0
432.138,49.250508,-122.896366,12.939,35.099998,4.599998,89.990631,0,0.000112,0
432.959,49.250508,-122.896366,12.39,35.099998,4.599998,87.439026,0,0.000163,0
434.182,49.250509,-122.896365,10.928,35.099998,4.599998,89.258469,0,0.000164,0
434.755,49.250509,-122.896364,10.94,35.099998,4.599998,89.99939,0,0.000482,0
435.679,49.250508,-122.896359,11.658,35.099998,4.599998,90.000099,0,0.002395,0
436.181,49.250508,-122.896356,11.874,35.099998,4.599998,90.001045,0,0.00266,0
437.22,49.250508,-122.896349,12.562,35.099998,4.599998,90.004196,0,0.002105,0
437.764,49.250507,-122.896345,12.921,35.099998,4.599998,90.029289,0,0.0018,0
438.282,49.250507,-122.896343,13.212,35.099998,4.599998,90.028305,0,0.001707,0
439.278,49.250507,-122.896336,14.126,35.099998,4.599998,90.002769,0,0.001505,0
441.348804,49.250506,-122.896322,23.516001,35.099998,4.599998,90.01799,0,0.033876,0
442.303,49.250506,-122.896321,33.257,35.099998,4.599998,92.804787,0,0.001889,0
443.323,49.250506,-122.896318,34.936001,35.099998,4.599998,90.024925,0,0.000357,0
444.348,49.250506,-122.896316,29.889,35.099998,4.599998,89.998917,0,0.000344,0
445.347577,49.250506,-122.896313,28.163,35.099998,4.599998,89.905907,0,0.000419,0
445.884,49.250508,-122.896311,27.577,35.099998,4.599998,88.524162,0,0.000474,0
446.864,49.250511,-122.896307,22.625,35.099998,4.599998,75.860649,0,0.000498,0
452.48,49.250515,-122.896276,31.759001,35.099998,4.599998,86.561935,0,0.01103,0
453.3480512,49.250517,-122.896272,63.592999,35.099998,4.599998,86.10614,0,0.010927,0
454.258,49.250517,-122.896268,52.852001,35.099998,4.599998,21.325302,0,0.000215,0
454.882,49.250518,-122.896266,46.898998,35.099998,4.599998,2.791738,0,0.000131,0
455.94,49.25052,-122.896264,41.810001,35.099998,4.599998,0.003201,0,0.000235,0
457.001,49.250523,-122.896264,39.112,35.099998,4.599998,0,0,0.000473,0
458.06,49.250527,-122.896265,27.299,35.099998,4.599998,359.999969,0,0.000722,0
458.594,49.250531,-122.896267,27.912001,35.099998,4.599998,359.950958,0,0.001444,0
459.12,49.250534,-122.896268,27.875999,35.099998,4.599998,359.548004,0,0.004111,0
460.16,49.250542,-122.896273,27.847,35.099998,4.599998,344.474091,0,0.053776,0
461.221,49.250553,-122.896279,27.978001,35.099998,4.599998,339.357666,0,0.230982,0
462.299,49.250567,-122.89629,27.952,35.099998,4.599998,336.353882,0,0.55303,0
463.3468713,49.250585,-122.896303,27.938,35.099998,4.599998,334.768768,0,0.945227,0
463.898,49.250596,-122.896312,27.735001,35.099998,4.599998,334.455811,0,1.170892,0
464.807,49.250614,-122.896324,28.718,35.099998,4.599998,335.12326,0,1.428594,0
465.3497607,49.250633,-122.896317,28.641001,35.099998,4.599998,345.672119,0,1.663832,0
466.059,49.250612,-122.896303,28.364,35.099998,4.599998,345.077881,0,0.100273,0
466.738,49.250623,-122.896296,27.75,35.099998,4.599998,350.993591,0,0.007247,0
467.301,49.250628,-122.896292,27.384001,35.099998,4.599998,18.794226,0,0.008228,0
468.3423576,49.250641,-122.896285,26.459,35.099998,4.599998,33.45219,0,0.010111,0
468.939,49.250646,-122.89628,25.365,35.099998,4.599998,39.719128,0,0.009917,0
469.998,49.250652,-122.896275,23.91,35.099998,4.599998,63.578583,0,0.008194,0
470.926,49.250656,-122.896269,23.969,35.099998,4.599998,73.435005,0,0.008093,0
471.758,49.250665,-122.896247,23.312,35.099998,4.599998,66.919022,0,0.085155,0
472.838,49.250675,-122.896226,22.225,35.099998,4.599998,61.344627,0,0.253879,0
473.3438607,49.250678,-122.89622,21.848,35.099998,4.599998,59.389259,0,0.291008,0
474.081,49.250684,-122.896212,21.098,35.099998,4.599998,55.593765,0,0.357026,0
475.16,49.250691,-122.896204,19.995001,35.099998,4.599998,49.421223,0,0.47433,0
475.72,49.250698,-122.8962,19.205999,35.099998,4.599998,45.594173,0,0.572793,0
476.318,49.250702,-122.896196,18.506001,35.099998,4.599998,44.09668,0,0.610723,0
476.9,49.250709,-122.896192,18.464001,35.099998,4.599998,41.280148,0,0.676912,0
478.3463717,49.250742,-122.896159,17.141001,35.099998,4.599998,38.661133,0,0.739447,0
479.3499941,49.250759,-122.896143,16.080999,35.099998,4.599998,36.247345,0,0.772933,0
479.897,49.250774,-122.896133,15.319,35.099998,4.599998,33.42247,0,0.837047,0
481.079,49.250796,-122.896119,13.937,35.099998,4.599998,29.207872,0,0.916638,0
482.285,49.250812,-122.896112,12.125,35.099998,4.599998,23.286224,0,0.875685,0
482.899,49.250824,-122.896109,11.981,35.099998,4.599998,15.829734,0,0.85976,0
484.3498994,49.250847,-122.896104,11.744,35.099998,4.599998,8.152227,0,0.887815,0
485.278,49.250856,-122.8961,11.392,35.099998,4.599998,4.90902,0,0.849556,0
485.78,49.250861,-122.896096,11.021,35.099998,4.599998,3.809448,0,0.787866,0
486.3454142,49.250866,-122.896093,10.899,35.099998,4.599998,4.099648,0,0.760929,0
486.921,49.250873,-122.896089,10.754,35.099998,4.599998,4.584946,0,0.752583,0
487.54,49.25088,-122.896082,10.465,35.099998,4.599998,2.775163,0,0.693032,0
488.118,49.250885,-122.896079,10.344,35.099998,4.599998,1.777885,0,0.64767,0
488.758,49.25089,-122.896074,9.909,35.099998,4.599998,1.013622,0,0.565456,0
489.258,49.250894,-122.896072,9.917,35.099998,4.599998,0.90862,0,0.527895,0
490.3442584,49.250904,-122.896061,9.759,35.099998,4.599998,0.686725,0,0.430413,0
490.999,49.25091,-122.896055,9.621,35.099998,4.599998,0.499274,0,0.374961,0
491.578,49.250914,-122.89605,9.495,35.099998,4.599998,0.307148,0,0.327419,0
492.179,49.250917,-122.896047,9.422,35.099998,4.599998,0.214963,0,0.306904,0
492.778,49.25092,-122.896043,9.277,35.099998,4.599998,0.130707,0,0.268618,0
493.32,49.250922,-122.896041,9.211,35.099998,4.599998,0.119087,0,0.251452,0
493.879,49.250923,-122.896038,9.069,35.099998,4.599998,0.100256,0,0.219624,0
494.458,49.250925,-122.896035,8.913,35.099998,4.599998,0.11724,0,0.191433,0
495.061,49.250927,-122.896033,8.823,35.099998,4.599998,0.155301,0,0.178087,0
495.618,49.250928,-122.89603,8.835,35.099998,4.599998,0.247318,0,0.151828,0
496.161,49.25093,-122.896028,8.845,35.099998,4.599998,0.350866,0,0.137761,0
496.8,49.250932,-122.896025,8.817,35.099998,4.599998,0.628065,0,0.102511,0
497.779,49.250934,-122.89602,8.696,35.099998,4.599998,1.224971,0,0.077582,0
498.317,49.250936,-122.896018,8.666,35.099998,4.599998,1.404926,0,0.07294,0
498.962,49.250937,-122.896016,8.56,35.099998,4.599998,1.537534,0,0.064335,0
499.641,49.250938,-122.896013,8.44,35.099998,4.599998,1.669214,0,0.056144,0
500.721,49.250939,-122.89601,8.266,35.099998,4.599998,2.03385,0,0.045236,0
501.258,49.25094,-122.896009,8.142,35.099998,4.599998,2.515274,0,0.040772,0
501.86,49.25094,-122.896007,8.048,35.099998,4.599998,3.719304,0,0.030739,0
502.367,49.25094,-122.896005,8,35.099998,4.599998,5.397998,0,0.02453,0
502.88,49.250942,-122.896004,7.937,39.699997,4.700001,7.695523,0,0.016883,0
503.96,49.250944,-122.896002,7.826,39.699997,4.700001,28.808382,0,0.044929,0
504.519,49.250945,-122.895999,7.753,39.699997,4.700001,42.152634,0,0.106206,0
505.058,49.250946,-122.895996,7.741,39.699997,4.700001,45.349545,0,0.141191,0
505.619,49.250947,-122.895993,7.671,39.699997,4.700001,45.801903,0,0.191218,0
506.178,49.250949,-122.895991,7.665,39.699997,4.700001,42.340359,0,0.199596,0
506.741,49.250952,-122.895989,7.642,39.699997,4.700001,31.302975,0,0.263577,0
507.299,49.250955,-122.895987,7.672,39.699997,4.700001,24.353914,0,0.316267,0
507.998,49.250959,-122.895987,7.719,39.699997,4.700001,14.426985,0,0.387524,0
508.502,49.250962,-122.895988,7.857,35.099998,4.599998,1.391644,0,0.419525,0
509.3557683,49.250966,-122.89599,7.96,35.099998,4.599998,359.206573,0,0.413929,0
510.099,49.250969,-122.895992,8.062,35.099998,4.599998,358.202026,0,0.398431,0
510.619,49.250971,-122.895993,8.126,35.099998,4.599998,359.104034,0,0.365684,0
511.178,49.250972,-122.895995,8.196,35.099998,4.599998,359.338409,0,0.342298,0
511.72,49.250974,-122.895996,8.317,35.099998,4.599998,359.610077,0,0.299761,0
512.803,49.25098,-122.895998,8.547,35.099998,4.599998,359.854523,0,0.247593,0
513.377,49.250983,-122.895999,8.687,35.099998,4.599998,359.921112,0,0.233177,0
513.96,49.250986,-122.896,8.941,35.099998,4.599998,359.96933,0,0.206353,0
514.982,49.250995,-122.896002,9.564,35.099998,4.599998,359.991608,0,0.163166,0
516.118,49.251004,-122.896003,10.235,35.099998,4.599998,359.999969,0,0.139472,0
516.724,49.251009,-122.896004,10.866,35.099998,4.599998,359.999969,0,0.125451,0
517.279,49.251012,-122.896003,11.121,35.099998,4.599998,0.000333,0,0.118687,0
517.858,49.251017,-122.896003,11.636,35.099998,4.599998,0.003046,0,0.105325,0
518.978,49.251024,-122.896002,12.515,35.099998,4.599998,0.033664,0,0.088765,0
519.978,49.251027,-122.896003,12.996,35.099998,4.599998,359.971954,0,0.073493,0
521.179,49.251034,-122.896007,13.351,35.099998,4.599998,359.999115,0,0.060882,0
522.28,49.251046,-122.896012,13.351,35.099998,4.599998,359.999725,0,0.058079,0
523.339,49.251056,-122.896015,13.376,35.099998,4.599998,359.979218,0,0.054553,0
524.278,49.251066,-122.896018,13.419,35.099998,4.599998,359.977386,0,0.050778,0
524.84,49.251072,-122.896019,13.454,35.099998,4.599998,353.024445,0,0.068074,0
525.3457497,49.251076,-122.89602,13.587,35.099998,4.599998,349.365906,0,0.086642,0
526.058,49.251082,-122.896022,13.806,35.099998,4.599998,352.090607,0,0.097084,0
527.165,49.251103,-122.896027,14.159,35.099998,4.599998,358.076691,0,0.092843,0
527.798,49.251121,-122.896031,14.022,35.099998,4.599998,358.825409,0,0.099061,0
528.817,49.251141,-122.896035,13.69,35.099998,4.599998,359.375549,0,0.091232,0
529.3458816,49.251146,-122.896037,13.508,35.099998,4.599998,359.455353,0,0.088514,0
530.019,49.251154,-122.89604,13.328,35.099998,4.599998,359.562225,0,0.081571,0
531.038,49.251163,-122.896046,13.126,35.099998,4.599998,359.61441,0,0.072011,0
532.179,49.251172,-122.896053,12.754,35.099998,4.599998,359.718628,0,0.063992,0
533.3477596,49.251178,-122.896057,13.25,35.099998,4.599998,359.788757,0,0.056673,0
534.3501725,49.25119,-122.896053,13.253,39.699997,4.700001,1.313749,0,0.001285,0
535.237,49.251201,-122.896046,12.945,39.699997,4.700001,25.647341,0,0.001813,0
535.881,49.251203,-122.89604,12.52,39.699997,4.700001,38.152992,0,0.002185,0
537.3472439,49.251199,-122.896034,11.737,39.699997,4.700001,74.721138,0,0.002088,0
537.9,49.251194,-122.896031,11.342,39.699997,4.700001,114.991371,0,0.002255,0
539.097,49.251186,-122.896028,10.751,39.699997,4.700001,162.263458,0,0.003853,0
540.238,49.251178,-122.896026,10.755,39.699997,4.700001,173.526276,0,0.006916,0
540.877,49.251172,-122.896025,10.844,39.699997,4.700001,173.732071,0,0.008561,0
542.12,49.251166,-122.89602,10.995,35.099998,4.700001,168.903488,0,0.0088,0
543.3453752,49.251164,-122.896012,11.116,35.099998,4.700001,158.298492,0,0.010097,0
544.3442937,49.251164,-122.896008,11.278,35.099998,4.700001,150.169708,0,0.011483,0
545.3446065,49.251163,-122.896004,11.53,35.099998,4.700001,142.561737,0,0.013361,0
546.3443508,49.251162,-122.896001,11.656,35.099998,4.700001,118.911606,0,0.010899,0
547.279,49.251162,-122.895997,11.993,35.099998,4.700001,105.926399,0,0.010884,0
547.861,49.251161,-122.895994,12.431,35.099998,4.700001,95.64299,0,0.010789,0
549.159,49.251167,-122.89598,12.455,35.099998,4.700001,89.818825,0,0.01866,0
550.3490126,49.251171,-122.89597,12.458,35.099998,4.700001,87.875778,0,0.025828,0
551.3503254,49.251174,-122.895963,12.43,35.099998,4.700001,86.231865,0,0.031645,0
552.3492577,49.251176,-122.89596,12.368,35.099998,4.700001,85.104851,0,0.034536,0
552.958,49.251177,-122.895959,12.25,35.099998,4.700001,79.612907,0,0.02004,0
554.143,49.251181,-122.895956,12.166,35.099998,4.599998,0.157241,0,0.005019,0
555.341,49.251185,-122.895938,12.063,35.099998,4.599998,2.254285,0,0.007442,0
556.3484067,49.251189,-122.895933,11.993,35.099998,4.599998,12.119721,0,0.122943,0
556.98,49.251194,-122.895928,12.006,35.099998,4.599998,14.352205,0,0.326068,0
557.578,49.251197,-122.895925,12.042,35.099998,4.599998,14.510562,0,0.417389,0
558.141,49.2512,-122.895922,12.126,35.099998,4.599998,14.28154,0,0.502944,0
558.722,49.251204,-122.89592,12.234,35.099998,4.599998,13.296917,0,0.582557,0
559.261,49.251208,-122.895917,12.363,35.099998,4.599998,12.316568,0,0.656389,0
559.9,49.251212,-122.895915,12.699,35.099998,4.599998,11.261052,0,0.724547,0
560.479,49.251216,-122.895912,13.059,35.099998,4.599998,10.488189,0,0.787969,0
561.118,49.251219,-122.895902,13.305,35.099998,2,10.041877,0,0.846039,0
561.64,49.251221,-122.895893,13.691,35.099998,2,10.259984,0,0.844609,0
562.219,49.251223,-122.895884,13.947,35.099998,2,10.493659,0,0.843118,0
562.822,49.251225,-122.895877,14.215,35.099998,2,10.715119,0,0.841697,0
563.881,49.251229,-122.895863,14.79,35.099998,2,16.464449,0,0.817637,0
564.54,49.251232,-122.895857,15.13,35.099998,2,22.239235,0,0.80367,0
565.058,49.251234,-122.89585,15.485,35.099998,2,29.552441,0,0.798651,0
565.757,49.251237,-122.895842,15.999,35.099998,2,36.132206,0,0.7949,0
566.439,49.251239,-122.895835,16.455999,35.099998,2,43.332874,0,0.790279,0
567.141,49.251239,-122.895817,16.913,35.099998,2,62.055683,0,0.940167,0
567.801,49.251239,-122.895804,17.143,35.099998,2,68.595482,0,1.027694,0
568.521,49.251241,-122.895792,17.507,35.099998,2,71.372108,0,1.055892,0
569.241,49.251243,-122.895782,17.688999,35.099998,2,71.266586,0,1.067464,0
573.215,49.251255,-122.89576,18.271999,35.199997,4.599998,58.392818,0,0.649077,0
581.212,49.251246,-122.895753,17.188,35.099998,4.599998,81.758057,0,0.235189,0
587.759,49.251239,-122.895732,15.217,35.199997,4.599998,108.684654,0,0.244102,0
594.014,49.251179,-122.89569,22.084999,35.199997,4.599998,153.338226,0,0.968354,0
601.707,49.25117,-122.895688,20.077999,35.099998,2,157.929031,0,0.328913,0
605.253,49.251181,-122.89566,23.548,35.099998,3.400002,85.16581,0,0.351769,0
606.368,49.251185,-122.895661,23.806,35.099998,3.400002,68.564201,0,0.285704,0
612.598,49.251199,-122.895666,23.544001,35.099998,4.599998,3.268835,0,0.219977,0
618.827,49.251178,-122.895696,22.903,35.199997,4.599998,231.367798,0,0.300523,0
625.088,49.251172,-122.895663,21.898001,35.199997,4.599998,123.777245,0,0.225241,0
631.602,49.251189,-122.895683,24.604,35.099998,4.599998,327.61972,0,0.194956,0
637.835,49.251174,-122.895696,26.243,35.099998,4.599998,227.974884,0,0.186924,0
644.356,49.251168,-122.895688,25.358999,35.099998,3.400002,115.188171,0,0.170013,0
650.72,49.251169,-122.895667,24.615,35.099998,3.400002,96.044281,0,0.173431,0
651.318,49.251168,-122.895664,26.525999,35.099998,3.400002,103.303307,0,0.228136,0
652.343,49.251209,-122.895773,28.150999,35.099998,4.599998,300.748474,0,2.42536,0
656.779,49.251242,-122.89587,20.966999,35.099998,4.599998,298.828857,0,1.965133,0
657.513,49.251244,-122.895876,21.690001,35.099998,4.599998,298.34198,0,1.780093,0
659.198,49.251246,-122.895884,21.087999,35.099998,4.599998,298.300659,0,1.262272,0
659.725,49.251245,-122.895881,20.732,35.099998,4.599998,298.217834,0,1.003286,0
663.73,49.251247,-122.895885,19.437,35.099998,4.599998,299.294647,0,0.331484,0
664.761,49.251244,-122.89586,18.396999,35.099998,4.599998,71.702652,0,0.151977,0
665.462,49.251242,-122.895851,17.933001,35.099998,4.599998,89.527458,0,0.287362,0
666.16,49.251241,-122.895846,17.806999,35.099998,4.599998,94.286797,0,0.335117,0
667.419,49.251241,-122.895843,17.825001,35.099998,4.599998,99.008133,0,0.291872,0
668.24,49.25124,-122.895843,17.947001,35.099998,4.599998,103.886345,0,0.205585,0
668.961,49.25124,-122.895844,17.771,35.099998,4.599998,108.923386,0,0.133648,0
669.778,49.25124,-122.895847,18.136999,35.099998,4.599998,118.099548,0,0.042972,0
675.136,49.251241,-122.895848,18.264999,35.099998,4.599998,176.204575,0,0.005656,0
676.224,49.251252,-122.895855,15.552,35.099998,4.099998,340.832001,0,0.176897,0
676.78,49.251253,-122.895849,15.191,35.099998,4.099998,19.781807,0,0.172163,0
677.578,49.251253,-122.895846,15.057,35.099998,4.099998,39.233932,0,0.178413,0
678.238,49.251253,-122.895845,15.028,35.099998,4.099998,47.49157,0,0.167293,0
679.159,49.251254,-122.895845,15.057,35.099998,4.099998,47.635323,0,0.131126,0
679.759,49.251254,-122.895845,15.097,35.099998,4.099998,47.482143,0,0.103318,0
680.739,49.251253,-122.895845,15.153,35.099998,4.099998,41.657074,0,0.063524,0
681.74,49.251254,-122.895846,15.214,35.099998,4.099998,19.436808,0,0.046151,0
683.362,49.251253,-122.895846,15.618,35.099998,3.400002,313.327271,0,0.014387,0
688.521,49.251253,-122.895846,15.618,35.099998,3.400002,313.327271,0,0.014387,0
691.221,49.251263,-122.895841,14.878,35.099998,4.599998,18.758242,0,0.128855,0
696.338,49.251263,-122.895841,14.878,35.099998,4.599998,18.758242,0,0.128855,0
702.149,49.251262,-122.895808,12.788,35.099998,4.599998,87.421547,0,0.357876,0
