Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
4214.342792,49.251212,-122.89601,8.834,39.699997,4.700001,97.656136,0,0.000982,0
4215.344235,49.251207,-122.896008,8.408,39.699997,4.700001,95.62738,0,0.00122,0
4216.343776,49.251202,-122.896005,7.797,39.699997,4.700001,96.607895,0,0.001325,0
4216.973,49.251198,-122.896002,7.536,35.099998,4.700001,95.984741,0,0.002083,0
4218.344638,49.25119,-122.896,7.042,35.099998,4.700001,130.190704,0,0.000306,0
4219.353294,49.251186,-122.896,6.841,35.099998,4.700001,127.148125,0,0.000494,0
4220.34585,49.251181,-122.895998,6.66,35.099998,4.700001,119.405914,0,0.000717,0
4221.345751,49.251177,-122.895996,6.479,35.099998,4.700001,113.633461,0,0.001007,0
4222.344162,49.251172,-122.895994,6.342,35.099998,4.700001,123.33625,0,0.000931,0
4223.114,49.251169,-122.895992,6.189,35.099998,4.700001,123.121925,0,0.001215,0
4224.349367,49.251166,-122.895991,6.079,35.099998,4.700001,133.060104,0,0.000212,0
4225.343403,49.251144,-122.895982,5.723,35.099998,4.700001,145.330826,0,0.079784,0.086023
4226.345516,49.251122,-122.895973,5.059,35.099998,4.700001,163.309708,0,0.844682,0.290689
4227.252,49.251136,-122.89598,5.042,35.099998,4.700001,303.235504,0,0.011311,0
4227.993,49.251145,-122.895984,5.105,35.099998,4.700001,315.78302,0,0.00261,0
4229.369,49.251149,-122.895987,5.09,35.099998,4.700001,354.526733,0,0.000486,0
4230.114,49.251147,-122.895988,5.287,39.199997,4.700001,186.799744,0,0.005567,0
4231.133,49.251144,-122.895989,5.622,39.199997,4.700001,183.233994,0,0.012145,0
4232.175,49.251141,-122.89599,5.951,39.199997,4.700001,180.171356,0,0.002407,0
4233.213,49.251138,-122.89599,6.016,39.199997,4.700001,179.963593,0,0.00189,0
4234.235,49.251134,-122.89599,6.102,39.199997,4.700001,179.880081,0,0.002653,0
4235.256,49.251131,-122.895989,6.21,39.199997,4.700001,179.993149,0,0.002869,0
4236.314,49.251127,-122.895988,6.33,35.099998,4.599998,179.999985,0,0.001174,0
4237.350789,49.251124,-122.895987,6.425,35.099998,4.599998,179.99913,0,0.002527,0
4238.353693,49.251121,-122.895986,6.546,35.099998,4.599998,179.999313,0,0.002418,0
4239.354948,49.251117,-122.895985,6.751,35.099998,4.599998,179.998947,0,0.003054,0
4239.855,49.251114,-122.895984,6.841,35.099998,4.599998,179.998947,0,0.002891,0
4240.873,49.251111,-122.895981,6.986,35.099998,4.599998,179.999985,0,0.001527,0
4241.496,49.25111,-122.895979,6.953,35.099998,4.599998,180,0,0.001166,0
4242.353679,49.251103,-122.895978,6.81,39.699997,4.599998,179.999969,0,0.018711,0
4243.354413,49.251095,-122.895977,6.775,39.699997,4.599998,180,0,0.010587,0
4244.033,49.251091,-122.895977,6.712,39.699997,4.599998,180,0,0.004366,0
4245.013,49.251086,-122.895976,6.656,39.699997,4.599998,180,0,0.003722,0
4246.035,49.251082,-122.895975,6.774,39.699997,4.599998,179.988739,0,0.002283,0
4246.633,49.251081,-122.895974,6.951,39.699997,4.599998,179.920029,0,0.001481,0
4247.356052,49.25108,-122.895973,7.245,39.699997,4.599998,179.870346,0,0.001698,0
4248.074,49.25108,-122.895973,7.361,39.699997,4.599998,179.348801,0,0.000232,0
4249.117,49.251075,-122.895972,7.595,39.699997,4.599998,179.667236,0,0.007571,0
4250.134,49.251071,-122.89597,7.853,39.699997,4.599998,179.578018,0,0.003544,0
4251.152,49.251066,-122.895967,8.12,39.699997,4.599998,179.519699,0,0.002831,0
4252.173,49.251061,-122.895963,8.487,39.699997,4.599998,179.101639,0,0.002444,0
4252.794,49.251057,-122.89596,8.757,39.699997,4.599998,178.828979,0,0.002669,0
4253.349735,49.251054,-122.895957,9.104,39.699997,4.599998,177.786621,0,0.00294,0
4254.313,49.251055,-122.895955,9.436,39.699997,4.599998,167.948883,0,0.000246,0
4254.854,49.251054,-122.895954,9.756,39.699997,4.599998,185.662674,0,0.000838,0
4255.893,49.251053,-122.895953,10.166,39.699997,4.599998,157.4133,0,0.30889,0
4256.952,49.251054,-122.895951,10.292,39.699997,4.599998,157.124435,0,0.512377,0
